Location,Scene,Offence,Year,Measure,Value,Flags
"Northland District","Total Scene","Total Offences","1994","Resolved",6860,
"Northland District","Total Scene","Total Offences","1995","Resolved",7286,
"Northland District","Total Scene","Total Offences","1996","Resolved",7604,
"Northland District","Total Scene","Total Offences","1997","Resolved",7303,
"Northland District","Total Scene","Total Offences","1998","Resolved",7450,
"Northland District","Total Scene","Total Offences","1999","Resolved",8229,
"Northland District","Total Scene","Total Offences","2000","Resolved",8724,
"Northland District","Total Scene","Total Offences","2001","Resolved",8976,
"Northland District","Total Scene","Total Offences","2002","Resolved",8910,
"Northland District","Total Scene","Total Offences","2003","Resolved",8381,
"Northland District","Total Scene","Total Offences","2004","Resolved",7312,
"Northland District","Total Scene","Total Offences","2005","Resolved",7522,
"Northland District","Total Scene","Total Offences","2006","Resolved",7276,
"Northland District","Total Scene","Total Offences","2007","Resolved",8368,
"Northland District","Total Scene","Total Offences","2008","Resolved",9022,
"Northland District","Total Scene","Total Offences","2009","Resolved",9715,
"Northland District","Total Scene","Total Offences","2010","Resolved",9092,
"Northland District","Total Scene","Total Offences","2011","Resolved",7967,
"Northland District","Total Scene","Total Offences","2012","Resolved",8163,
"Northland District","Total Scene","Total Offences","2013","Resolved",7499,
"Northland District","Total Scene","Total Offences","2014","Resolved",6458,
"Waitemata District","Total Scene","Total Offences","1994","Recorded",31026,
"Waitemata District","Total Scene","Total Offences","1995","Recorded",35144,
"Waitemata District","Total Scene","Total Offences","1996","Recorded",38242,
"Waitemata District","Total Scene","Total Offences","1997","Recorded",39575,
"Waitemata District","Total Scene","Total Offences","1998","Recorded",38356,
"Waitemata District","Total Scene","Total Offences","1999","Recorded",37554,
"Waitemata District","Total Scene","Total Offences","2000","Recorded",38266,
"Waitemata District","Total Scene","Total Offences","2001","Recorded",37583,
"Waitemata District","Total Scene","Total Offences","2002","Recorded",39710,
"Waitemata District","Total Scene","Total Offences","2003","Recorded",41106,
"Waitemata District","Total Scene","Total Offences","2004","Recorded",38074,
"Waitemata District","Total Scene","Total Offences","2005","Recorded",37996,
"Waitemata District","Total Scene","Total Offences","2006","Recorded",40206,
"Waitemata District","Total Scene","Total Offences","2007","Recorded",38784,
"Waitemata District","Total Scene","Total Offences","2008","Recorded",39763,
"Waitemata District","Total Scene","Total Offences","2009","Recorded",40835,
"Waitemata District","Total Scene","Total Offences","2010","Recorded",36392,
"Waitemata District","Total Scene","Total Offences","2011","Recorded",36214,
"Waitemata District","Total Scene","Total Offences","2012","Recorded",31718,
"Waitemata District","Total Scene","Total Offences","2013","Recorded",31704,
"Waitemata District","Total Scene","Total Offences","2014","Recorded",32043,
"Waitemata District","Total Scene","Homicide and related offences","1994","Recorded",11,
"Waitemata District","Total Scene","Homicide and related offences","1995","Recorded",1,
"Waitemata District","Total Scene","Homicide and related offences","1996","Recorded",9,
"Waitemata District","Total Scene","Homicide and related offences","1997","Recorded",15,
"Waitemata District","Total Scene","Homicide and related offences","1998","Recorded",8,
"Waitemata District","Total Scene","Homicide and related offences","1999","Recorded",7,
"Waitemata District","Total Scene","Homicide and related offences","2000","Recorded",10,
"Waitemata District","Total Scene","Homicide and related offences","2001","Recorded",5,
"Waitemata District","Total Scene","Homicide and related offences","2002","Recorded",10,
"Waitemata District","Total Scene","Homicide and related offences","2003","Recorded",8,
"Waitemata District","Total Scene","Homicide and related offences","2004","Recorded",4,
"Waitemata District","Total Scene","Homicide and related offences","2005","Recorded",6,
"Waitemata District","Total Scene","Homicide and related offences","2006","Recorded",5,
"Waitemata District","Total Scene","Homicide and related offences","2007","Recorded",5,
"Waitemata District","Total Scene","Homicide and related offences","2008","Recorded",3,
"Waitemata District","Total Scene","Homicide and related offences","2009","Recorded",8,
"Waitemata District","Total Scene","Homicide and related offences","2010","Recorded",9,
"Waitemata District","Total Scene","Homicide and related offences","2011","Recorded",7,
"Waitemata District","Total Scene","Homicide and related offences","2012","Recorded",1,
"Waitemata District","Total Scene","Homicide and related offences","2013","Recorded",6,
"Waitemata District","Total Scene","Homicide and related offences","2014","Recorded",14,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2010","Recorded",86,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2011","Recorded",106,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2012","Recorded",68,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",62,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",59,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2009","Recorded",67,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2008","Recorded",88,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2007","Recorded",75,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2006","Recorded",88,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2005","Recorded",67,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2004","Recorded",69,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2003","Recorded",104,
"Waitemata District","Total Scene","Dangerous or negligent acts endangering persons","2002","Recorded",69,
