Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",9695,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",9866,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",9765,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",9133,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",8092,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",8134,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",7923,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",9356,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",10258,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",11047,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",10061,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2011",9011,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2012",8976,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2013",8413,
"Northland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2014",7177,
"Waitemata District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",19422,
"Waitemata District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",20076,
"Waitemata District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",22169,
"Waitemata District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",22206,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",19581,
"Counties/Manukau District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",19716,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",15302,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",15623,
"Counties/Manukau District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",18271,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",19726,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",20081,
"Counties/Manukau District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",18348,
"Waikato District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",15424,
"Counties/Manukau District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",19168,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",22893,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",18990,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",20167,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2006",21153,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2007",22583,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2008",22585,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2009",22993,
"Auckland District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2010",18316,
