Location,Scene,Offence,Year,Measure,Value,Flags
"Total New Zealand","Total Scene","Import or export illicit drugs","2001","Resolved",104,
"Total New Zealand","Total Scene","Import or export illicit drugs","2002","Resolved",94,
"Total New Zealand","Total Scene","Import or export illicit drugs","2003","Resolved",80,
"Total New Zealand","Total Scene","Import or export illicit drugs","2004","Resolved",74,
"Total New Zealand","Total Scene","Import or export illicit drugs","2005","Resolved",96,
"Total New Zealand","Total Scene","Import or export illicit drugs","2006","Resolved",107,
"Total New Zealand","Total Scene","Import or export illicit drugs","2007","Resolved",132,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2001","Resolved",2072,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2002","Resolved",2056,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2003","Resolved",1491,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2004","Resolved",1206,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2005","Resolved",1511,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2006","Resolved",1543,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2007","Resolved",1436,
"Total New Zealand","Total Scene","Import or export illicit drugs","2008","Resolved",132,
"Total New Zealand","Total Scene","Import or export illicit drugs","2009","Resolved",159,
"Total New Zealand","Total Scene","Import or export illicit drugs","2010","Resolved",104,
"Total New Zealand","Total Scene","Import or export illicit drugs","2011","Resolved",84,
"Total New Zealand","Total Scene","Import or export illicit drugs","2012","Resolved",82,
"Total New Zealand","Total Scene","Import or export illicit drugs","2013","Resolved",112,
"Total New Zealand","Total Scene","Import or export illicit drugs","2014","Resolved",95,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2008","Resolved",2532,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2009","Resolved",3133,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2010","Resolved",2761,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2011","Resolved",2896,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2012","Resolved",4109,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2013","Resolved",3121,
"Total New Zealand","Total Scene","Deal or traffic in illicit drugs","2014","Resolved",3612,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2001","Resolved",2921,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2002","Resolved",2598,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2003","Resolved",2660,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2004","Resolved",2438,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2005","Resolved",2089,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2006","Resolved",2083,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2007","Resolved",2190,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2008","Resolved",2276,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2009","Resolved",2880,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2010","Resolved",2698,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2011","Resolved",2228,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2012","Resolved",2240,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2013","Resolved",1694,
"Total New Zealand","Total Scene","Manufacture or cultivate illicit drugs","2014","Resolved",1604,
